DATA,Temperatura massima (°C),Temperatura media (°C),Temperatura minima (°C),Temperatura classe,Precipitazione (mm),Precipitazione classe,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Durata calma (min),Tempo permanenza (min),Vento classe,Umidità massima (%),Umidità media (%),Umidità minima (%),Umidità classe
1990-11-14,,,,M000,,M0,,,,,,M00000,,,,M000
1990-11-15,16.9,8.5,-0.1,M000,0.0,MZ,5.1,24.9,W,80,400,M00000,96,59,27,M000
1990-11-16,17.3,8.5,2.7,M000,0.0,MZ,2.3,9.9,WSW,70,420,M00000,74,41,23,M000
1990-11-17,15.7,7.2,3.0,M000,0.0,MZ,1.1,8.8,E,200,270,M00000,80,60,30,M000
1990-11-18,20.9,15.0,1.9,M000,0.0,MZ,8.2,23.5,W,60,880,M00000,87,38,21,M000
1990-11-19,18.9,16.3,9.3,M000,0.0,MZ,8.7,23.0,WNW,10,610,M00000,42,26,20,M000
1990-11-20,11.8,7.4,3.5,M000,0.2,MZ,1.0,6.1,E,290,470,M00000,94,69,41,M000
1990-11-21,9.6,7.9,6.4,M000,0.2,MZ,0.6,2.7,E,480,340,M00000,97,92,85,M000
1990-11-22,9.3,7.3,4.3,M000,6.8,MZ,1.1,9.9,WSW,200,300,M00000,97,93,83,M000
1990-11-23,11.5,7.9,4.3,M000,0.0,MZ,7.3,15.6,W,0,890,M00000,96,43,30,M000
1990-11-24,9.7,5.0,0.7,M000,0.0,MZ,2.2,13.0,WNW,350,300,M00000,92,53,32,M000
1990-11-25,4.0,1.3,-1.1,M000,12.4,MZ,0.9,7.3,W,420,140,M00000,96,93,85,M000
1990-11-26,7.1,2.0,-2.8,M000,0.0,MZ,,,,,,M00000,99,88,61,M000
1990-11-27,8.4,4.5,2.1,M000,1.2,MZ,1.8,8.8,WSW,210,270,M00000,95,87,65,M000
1990-11-28,9.8,4.2,1.0,M000,0.0,MZ,1.3,6.3,WSW,270,240,M*****,97,85,56,M000
1990-11-29,,,,M000,0.0,MZ,,,,,,M00000,,,,M000
1990-11-30,9.5,2.8,-2.8,M000,0.0,MZ,2.4,19.3,WNW,250,220,M00000,86,57,29,M000
1990-12-01,6.8,0.6,-3.3,M000,0.0,MZ,1.2,7.3,SW,300,240,M00000,83,57,29,M000
1990-12-02,5.5,-1.1,-4.8,M000,0.0,MZ,0.8,3.7,WNW,470,260,M00000,82,62,26,M000
1990-12-03,6.4,-1.0,-4.6,M000,0.0,MZ,1.5,8.7,WSW,220,280,M00000,86,71,34,M000
1990-12-04,9.7,0.4,-3.9,M000,0.0,MZ,1.0,4.5,W,260,360,M00000,84,67,31,M000
1990-12-05,10.0,2.0,-2.3,M000,0.0,MZ,1.8,10.8,E,100,290,M00000,74,51,26,M000
1990-12-06,7.4,0.7,-5.0,M000,0.0,MZ,2.3,8.3,WSW,230,480,M00000,70,40,23,M000
1990-12-07,6.0,-2.8,-6.8,M000,0.0,MZ,0.7,4.6,W,670,300,M00000,80,60,25,M000
1990-12-08,6.3,-0.4,-6.1,M000,0.0,MZ,1.1,5.0,W,350,240,M00000,80,61,39,M000
1990-12-09,0.4,-1.1,-2.0,M000,26.2,MZ,0.6,5.1,E,750,190,M00000,96,93,79,M000
1990-12-10,6.5,1.7,-0.8,M000,1.4,MZ,2.9,17.5,WNW,330,220,M00000,97,79,34,M000
1990-12-11,2.5,-0.5,-5.4,M000,3.0,MZ,0.8,4.2,WSW,510,480,M00000,97,94,89,M000
1990-12-12,9.0,2.4,-6.3,M000,0.0,MZ,4.8,19.4,W,20,480,M00000,92,57,34,M000
1990-12-13,6.7,4.3,1.3,M000,0.0,MZ,7.3,19.4,W,0,910,M00000,44,33,29,M000
1990-12-14,9.5,1.3,-4.4,M000,0.0,MZ,3.4,12.4,W,60,630,M00000,79,50,30,M000
1990-12-15,6.4,-0.2,-5.3,M000,0.0,MZ,1.3,5.6,W,210,200,M00000,85,63,32,M000
1990-12-16,4.9,-2.0,-6.6,M000,0.0,MZ,2.1,11.3,W,250,360,M00000,80,62,32,M000
